MSZoning,LotFrontage,LotArea,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,X1stFlrSF,X2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,PoolArea,PoolQC,Fence,MiscFeature,YrSold,SaleType,SalePrice
RL,100.0,10175,,IR1,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,6,5,1964,1964,Gable,HdBoard,Plywood,BrkFace,272.0,Avg,Avg,CBlock,Avg,Avg,No,BLQ,490,Unf,935,1425,GasA,AboveAvg,Y,SBrkr,1425,0,1425,0,2,0,3,Avg,7,Typ,1,AboveAvg,Attchd,1964.0,RFn,2,576,Avg,Avg,Y,0,0,0,,,,2008,WD,180500
RL,43.0,3182,,Reg,Lvl,Inside,Gtl,other,Norm,TwnhsE,1Story,7,5,2005,2006,Gable,VinylSd,VinylSd,BrkFace,16.0,AboveAvg,Avg,PConc,AboveAvg,Avg,Av,GLQ,16,Unf,1357,1373,GasA,AboveAvg,Y,SBrkr,1555,0,1555,0,2,0,2,AboveAvg,7,Typ,1,Avg,Attchd,2005.0,Fin,2,430,Avg,Avg,Y,143,20,0,,,,2009,WD,192500
RL,75.0,7950,,IR1,Bnk,Corner,Gtl,Edwards,Norm,1Fam,2Story,6,6,1977,1977,Hip,HdBoard,Plywood,BrkFace,140.0,Avg,Avg,CBlock,Avg,Avg,No,BLQ,535,Unf,155,690,GasA,Avg,Y,SBrkr,698,728,1426,0,1,1,3,Avg,6,Typ,0,,Attchd,1977.0,Fin,2,440,Avg,Avg,Y,252,0,0,,MnPrv,,2009,WD,159500
RL,80.0,9600,,Reg,Lvl,other,Gtl,other,Feedr,1Fam,1Story,6,8,1976,1976,Gable,MetalSd,MetalSd,None,0.0,Avg,Avg,CBlock,AboveAvg,Avg,Gd,ALQ,978,Unf,284,1262,GasA,AboveAvg,Y,SBrkr,1262,0,1262,0,2,0,3,Avg,6,Typ,1,Avg,Attchd,1976.0,RFn,2,460,Avg,Avg,Y,298,0,0,,,,2007,WD,181500
RL,66.0,6858,,Reg,Bnk,Corner,Gtl,other,Norm,1Fam,2Story,6,4,1915,1950,Gable,Wd Sdng,Wd Sdng,None,0.0,Avg,Avg,PConc,AboveAvg,Avg,No,Unf,0,Unf,806,806,GasA,Avg,N,FuseF,841,806,1647,1,1,1,4,BelowAvg,6,Typ,0,,Detchd,1920.0,Unf,1,216,Avg,Avg,Y,0,66,0,,,,2010,WD,128000
RM,60.0,9600,Grvl,Reg,Lvl,Inside,Gtl,OldTown,Norm,1Fam,2Story,4,2,1900,1950,Gable,other,other,None,0.0,Avg,Avg,BrkTil,Avg,BelowAvg,No,Unf,0,Unf,1095,1095,other,BelowAvg,N,SBrkr,1095,679,1774,1,2,0,4,Avg,8,Min2,0,,2Types,1920.0,Unf,3,779,BelowAvg,BelowAvg,N,0,0,0,,,,2006,WD,87000
RL,77.0,10010,,Reg,Lvl,Inside,Mod,Mitchel,Norm,1Fam,1Story,5,5,1974,1975,Gable,HdBoard,HdBoard,None,0.0,Avg,Avg,CBlock,AboveAvg,Avg,Av,ALQ,1071,LwQ,195,1389,GasA,AboveAvg,Y,SBrkr,1389,0,1389,1,1,0,2,Avg,6,Typ,1,Avg,Attchd,1975.0,RFn,2,418,Avg,Avg,Y,240,38,0,,,,2006,WD,170000
RL,55.0,10267,,Reg,Lvl,Inside,Gtl,BrkSide,RR,1Fam,1Story,6,7,1918,2000,Gable,other,Wd Shng,None,0.0,Avg,AboveAvg,BrkTil,Avg,AboveAvg,Mn,Rec,210,ALQ,0,816,GasA,AboveAvg,Y,SBrkr,838,0,838,1,1,0,2,BelowAvg,5,Typ,0,,Detchd,1961.0,Fin,1,275,Avg,Avg,N,0,0,0,,MnWw,,2008,WD,130000
RM,50.0,5500,,Reg,Lvl,Corner,Gtl,OldTown,Norm,1Fam,1.5Fin,5,7,1929,2001,Gable,Wd Sdng,Wd Sdng,None,0.0,Avg,Avg,BrkTil,Avg,Avg,No,LwQ,234,ALQ,0,926,GasA,Avg,Y,SBrkr,926,0,1316,1,1,0,3,Avg,6,Typ,0,,Detchd,1974.0,Unf,2,484,Avg,Avg,Y,0,0,0,,,,2010,WD,130000
RL,80.0,9600,,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,SLvl,6,6,1955,1996,Hip,other,other,None,0.0,Avg,Avg,CBlock,Avg,Avg,Av,BLQ,831,Unf,161,992,GasA,AboveAvg,Y,SBrkr,1661,0,1661,1,1,0,3,AboveAvg,8,Typ,1,Avg,BuiltIn,1955.0,RFn,1,377,Avg,Avg,Y,0,28,0,,MnPrv,,2008,WD,165500
RL,52.0,46589,,IR2,Lvl,CulDSac,Gtl,NoRidge,Norm,1Fam,2Story,8,7,1994,2005,Hip,VinylSd,VinylSd,BrkFace,528.0,AboveAvg,Avg,PConc,AboveAvg,AboveAvg,No,GLQ,1361,Rec,88,1629,GasA,AboveAvg,Y,SBrkr,1686,762,2448,1,2,1,4,AboveAvg,8,Typ,1,Avg,Attchd,1994.0,RFn,3,711,Avg,Avg,Y,517,76,0,,,,2009,WD,402000
RL,92.0,11952,,Reg,Lvl,Inside,Gtl,NWAmes,PosA,1Fam,2Story,7,6,1977,1977,other,other,Plywood,None,0.0,Avg,Avg,CBlock,AboveAvg,Avg,No,Unf,0,Unf,808,808,GasA,Avg,Y,SBrkr,1161,808,1969,0,2,1,3,Avg,8,Typ,1,AboveAvg,Attchd,1977.0,RFn,2,534,Avg,Avg,Y,0,0,0,,,,2007,WD,190000
RM,40.0,5436,,Reg,Lvl,Inside,Gtl,IDOTRR,Norm,1Fam,1.5Fin,4,8,1922,2007,Gable,VinylSd,VinylSd,None,0.0,Avg,AboveAvg,BrkTil,Avg,Avg,No,BLQ,735,Unf,61,796,GasA,AboveAvg,Y,SBrkr,796,358,1154,1,1,0,3,AboveAvg,7,Typ,0,,Detchd,1922.0,Unf,1,240,Avg,Avg,N,0,96,0,,MnPrv,,2010,WD,125500
RL,43.0,3182,,Reg,Lvl,Inside,Gtl,other,Norm,TwnhsE,1Story,7,5,2005,2006,Gable,VinylSd,VinylSd,BrkFace,14.0,AboveAvg,Avg,PConc,AboveAvg,AboveAvg,No,GLQ,16,Unf,1330,1346,GasA,AboveAvg,Y,SBrkr,1504,0,1504,0,2,0,2,AboveAvg,7,Typ,1,AboveAvg,Attchd,2005.0,Fin,2,437,Avg,Avg,Y,156,20,0,,,,2008,WD,191000
RL,73.0,8925,,IR1,HLS,Inside,Gtl,Timber,Norm,1Fam,1Story,8,5,2007,2007,Gable,VinylSd,VinylSd,None,0.0,AboveAvg,Avg,PConc,AboveAvg,Avg,Av,GLQ,16,Unf,1450,1466,GasA,AboveAvg,Y,SBrkr,1466,0,1466,0,2,0,3,AboveAvg,7,Typ,0,,Attchd,2007.0,Fin,3,610,Avg,Avg,Y,100,18,0,,,,2009,WD,201000
RL,,3196,,Reg,Lvl,Inside,Gtl,other,Norm,TwnhsE,1Story,7,5,2003,2004,Gable,VinylSd,VinylSd,BrkFace,18.0,AboveAvg,Avg,PConc,AboveAvg,Avg,Gd,Unf,0,Unf,1374,1374,GasA,AboveAvg,Y,SBrkr,1557,0,1557,0,2,0,2,AboveAvg,7,Typ,1,Avg,Attchd,2003.0,Fin,2,420,Avg,Avg,Y,143,20,0,,,,2006,WD,234000
RL,60.0,6000,,Reg,Lvl,Inside,Gtl,other,Norm,1Fam,1.5Fin,5,5,1926,1950,Gable,Wd Sdng,Wd Sdng,None,0.0,Avg,BelowAvg,BrkTil,Avg,Avg,No,Unf,0,Unf,1008,1008,GasA,AboveAvg,Y,SBrkr,1008,0,1522,0,2,0,4,Avg,7,Typ,0,,,,,0,0,,,P,0,0,0,,,,2006,WD,102000
RL,67.0,16285,,IR2,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,7,5,2001,2002,Gable,VinylSd,VinylSd,None,0.0,AboveAvg,Avg,PConc,AboveAvg,Avg,No,Unf,0,Unf,1413,1413,GasA,AboveAvg,Y,SBrkr,1430,0,1430,0,2,0,3,AboveAvg,6,Typ,0,,Attchd,2001.0,RFn,2,605,Avg,Avg,Y,0,33,0,,,,2009,WD,187100
RM,50.0,5000,,Reg,Lvl,Inside,Gtl,IDOTRR,RR,1Fam,1.5Unf,5,6,1941,1950,Gable,MetalSd,MetalSd,None,0.0,Avg,Avg,CBlock,Avg,Avg,Av,BLQ,116,Unf,604,720,GasA,BelowAvg,N,FuseF,803,0,803,0,1,0,2,Avg,5,Typ,0,,Detchd,1941.0,Unf,2,360,Avg,Avg,Y,0,0,0,,,,2007,WD,87000
RL,85.0,14331,,Reg,Lvl,Inside,Gtl,Timber,Norm,1Fam,1Story,8,5,2002,2002,Hip,VinylSd,VinylSd,BrkFace,630.0,AboveAvg,Avg,PConc,AboveAvg,Avg,Gd,GLQ,1274,Unf,526,1800,GasA,AboveAvg,Y,SBrkr,1800,0,1800,1,2,0,3,AboveAvg,7,Typ,1,AboveAvg,Attchd,2002.0,Fin,3,765,Avg,Avg,Y,270,78,0,,,,2006,WD,312500
RL,,9819,,IR1,Lvl,Inside,Mod,Mitchel,Norm,1Fam,1Story,6,5,1977,1977,Gable,Plywood,other,None,0.0,Avg,Avg,PConc,Avg,Avg,Gd,ALQ,1567,Unf,0,1567,GasA,Avg,Y,SBrkr,1567,0,1567,1,2,0,2,AboveAvg,5,Typ,2,Avg,Attchd,1977.0,RFn,2,714,Avg,Avg,Y,264,32,0,,,,2009,WD,196000
RL,,10382,,IR1,Lvl,Corner,Gtl,NWAmes,PosN,1Fam,2Story,7,6,1973,1973,Gable,HdBoard,HdBoard,Stone,240.0,Avg,Avg,CBlock,AboveAvg,Avg,Mn,ALQ,859,BLQ,216,1107,GasA,AboveAvg,Y,SBrkr,1107,983,2090,1,2,1,3,Avg,7,Typ,2,Avg,Attchd,1973.0,RFn,2,484,Avg,Avg,Y,235,204,0,,,Shed,2009,WD,200000
RL,92.0,11764,,IR1,Lvl,CulDSac,Gtl,NoRidge,Norm,1Fam,2Story,8,7,1999,2007,Gable,VinylSd,VinylSd,BrkFace,348.0,AboveAvg,Avg,PConc,AboveAvg,Avg,No,GLQ,524,Unf,628,1152,GasA,AboveAvg,Y,SBrkr,1164,1106,2270,0,2,1,4,AboveAvg,9,Typ,1,AboveAvg,Attchd,1999.0,Fin,3,671,Avg,Avg,Y,132,57,0,,,,2010,WD,290000
RL,80.0,8816,,Reg,Lvl,Corner,Gtl,Sawyer,Feedr,1Fam,1Story,5,6,1963,1963,Gable,VinylSd,VinylSd,None,0.0,Avg,Avg,PConc,Avg,Avg,No,Rec,651,Unf,470,1121,GasA,Avg,Y,SBrkr,1121,0,1121,1,1,0,3,Avg,5,Typ,0,,Detchd,1963.0,Unf,2,480,Avg,Avg,Y,0,80,0,,MnPrv,,2009,WD,139000
FV,62.0,7500,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,1Fam,1Story,7,5,2005,2005,Gable,VinylSd,VinylSd,None,0.0,AboveAvg,Avg,PConc,AboveAvg,Avg,No,Unf,0,Unf,1257,1257,GasA,AboveAvg,Y,SBrkr,1266,0,1266,0,2,0,3,AboveAvg,6,Typ,1,Avg,Attchd,2005.0,Unf,2,453,Avg,Avg,Y,38,144,0,,,,2006,WD,176000
RL,70.0,9100,,Reg,Lvl,Corner,Gtl,NAmes,Feedr,1Fam,1Story,5,5,1958,1958,Gable,VinylSd,VinylSd,None,0.0,Avg,Avg,CBlock,Avg,Avg,No,BLQ,521,LwQ,169,864,GasA,Avg,Y,SBrkr,864,0,864,1,1,0,3,Avg,5,Typ,0,,Detchd,1964.0,Unf,2,624,Avg,Avg,Y,0,0,0,,,,2006,WD,129900
RL,,12328,,IR1,Lvl,Inside,Gtl,Mitchel,Norm,1Fam,SLvl,6,5,1976,1976,Gable,HdBoard,HdBoard,BrkFace,335.0,Avg,Avg,CBlock,Avg,Avg,Av,GLQ,539,Unf,473,1012,GasA,Avg,Y,SBrkr,1034,0,1034,1,1,0,3,Avg,6,Typ,0,,Attchd,1976.0,Unf,3,888,Avg,Avg,Y,0,0,0,,,,2010,WD,169900
RL,40.0,5664,,IR1,Lvl,Inside,Gtl,other,Norm,TwnhsE,1Story,8,5,2000,2000,Gable,CemntBd,CmentBd,None,0.0,AboveAvg,Avg,PConc,AboveAvg,Avg,No,GLQ,1158,Unf,343,1501,GasA,AboveAvg,Y,SBrkr,1659,0,1659,1,2,0,2,AboveAvg,5,Typ,1,AboveAvg,Attchd,2000.0,Fin,2,499,Avg,Avg,Y,212,59,0,,,,2009,WD,278000
RL,88.0,11782,,IR1,Lvl,Inside,Gtl,Sawyer,Norm,1Fam,SFoyer,5,7,1961,1995,Gable,HdBoard,HdBoard,None,0.0,Avg,Avg,CBlock,Avg,Avg,Av,ALQ,899,Unf,210,1109,GasA,Avg,Y,SBrkr,1155,0,1155,1,1,0,3,AboveAvg,6,Min2,0,,Detchd,1987.0,Unf,2,576,Avg,Avg,Y,192,0,0,,MnPrv,Shed,2010,WD,148000
RL,60.0,7180,,IR1,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,5,7,1972,1972,Hip,HdBoard,HdBoard,None,0.0,Avg,Avg,CBlock,Avg,Avg,Av,ALQ,390,Unf,474,864,GasA,Avg,Y,SBrkr,864,0,864,0,1,0,3,Avg,5,Typ,0,,Detchd,1989.0,Unf,1,352,Avg,Avg,Y,0,0,0,,,,2008,WD,127000
RL,80.0,10480,,Reg,Lvl,Inside,Gtl,NWAmes,Norm,1Fam,2Story,7,6,1976,1976,Hip,Plywood,Plywood,BrkFace,660.0,Avg,Avg,CBlock,Avg,Avg,No,ALQ,403,Unf,400,803,GasA,Avg,Y,SBrkr,1098,866,1964,0,2,1,4,Avg,8,Typ,1,AboveAvg,Attchd,1976.0,RFn,2,483,Avg,Avg,Y,0,69,0,,,,2008,WD,205000
RM,21.0,1491,,Reg,Lvl,Inside,Gtl,other,Norm,TwnhsE,SFoyer,4,6,1972,1972,Gable,CemntBd,CmentBd,None,0.0,Avg,Avg,CBlock,AboveAvg,Avg,Av,LwQ,150,GLQ,0,630,GasA,AboveAvg,Y,SBrkr,630,0,630,1,1,0,1,Avg,3,Typ,0,,,,,0,0,,,Y,96,24,0,,,,2010,WD,75500
RL,85.0,11075,,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,2Story,6,5,1969,1969,Gable,HdBoard,HdBoard,None,0.0,Avg,Avg,CBlock,BelowAvg,Avg,Mn,ALQ,500,LwQ,176,952,GasA,Avg,Y,SBrkr,1092,1020,2112,0,2,1,4,Avg,9,Typ,2,AboveAvg,Attchd,1969.0,Unf,2,576,Avg,Avg,Y,280,0,0,,,,2008,WD,206900
RL,78.0,9317,,IR1,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,6,5,2006,2006,Gable,VinylSd,VinylSd,None,0.0,AboveAvg,Avg,PConc,AboveAvg,Avg,No,GLQ,24,Unf,1290,1314,GasA,AboveAvg,Y,SBrkr,1314,0,1314,0,2,0,3,AboveAvg,6,Typ,1,AboveAvg,Attchd,2006.0,RFn,2,440,Avg,Avg,Y,0,22,0,,,,2007,WD,176432
RL,,18800,,IR1,Lvl,other,Gtl,NWAmes,Norm,1Fam,2Story,6,5,1976,1976,Gable,HdBoard,HdBoard,BrkFace,120.0,Avg,Avg,PConc,AboveAvg,Avg,Mn,GLQ,712,Unf,84,796,GasA,Avg,Y,SBrkr,790,784,1574,1,2,1,3,Avg,6,Typ,1,Avg,Attchd,1976.0,Fin,2,566,Avg,Avg,Y,306,111,0,,,,2006,WD,190000
RL,80.0,9600,,Reg,Lvl,Inside,Gtl,NWAmes,Norm,1Fam,1Story,7,6,1973,1973,Hip,HdBoard,HdBoard,BrkFace,320.0,Avg,Avg,CBlock,Avg,Avg,No,ALQ,916,Unf,326,1242,GasA,BelowAvg,Y,SBrkr,1242,0,1242,0,1,1,3,Avg,6,Typ,1,Avg,Attchd,1973.0,Unf,2,528,Avg,Avg,Y,0,0,0,,,,2007,WD,175500
RL,60.0,8070,,Reg,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,4,5,1994,1995,Gable,VinylSd,VinylSd,None,0.0,Avg,Avg,PConc,AboveAvg,Avg,No,GLQ,588,Unf,402,990,GasA,AboveAvg,Y,SBrkr,990,0,990,1,1,0,3,Avg,5,Typ,0,,,,,0,0,,,Y,0,0,0,,,,2007,WD,123600
RM,47.0,4608,,Reg,Lvl,Corner,Gtl,OldTown,Artery,1Fam,1Story,4,6,1945,1950,Gable,MetalSd,MetalSd,None,0.0,Avg,AboveAvg,CBlock,Avg,Avg,No,Unf,0,Unf,747,747,GasA,Avg,Y,SBrkr,747,0,747,0,1,0,2,Avg,4,Typ,0,,Attchd,1945.0,Unf,1,220,Avg,Avg,Y,0,0,0,,,,2010,WD,80000
RM,32.0,4500,,Reg,Lvl,other,Gtl,Mitchel,Norm,TwnhsE,1Story,6,5,1998,1998,Hip,VinylSd,VinylSd,BrkFace,443.0,Avg,AboveAvg,PConc,AboveAvg,AboveAvg,No,GLQ,1201,Unf,36,1237,GasA,AboveAvg,Y,SBrkr,1337,0,1337,1,2,0,2,Avg,5,Typ,0,,Attchd,1998.0,Fin,2,405,Avg,Avg,Y,0,199,0,,,,2006,WD,153500
RL,60.0,7024,,Reg,Lvl,Inside,Gtl,Edwards,Norm,1Fam,1Story,5,5,2005,2006,Gable,VinylSd,VinylSd,None,0.0,Avg,Avg,PConc,AboveAvg,AboveAvg,No,ALQ,980,Unf,110,1090,GasA,AboveAvg,Y,SBrkr,1090,0,1090,1,1,1,2,Avg,5,Typ,0,,Attchd,2005.0,Fin,2,450,Avg,Avg,Y,0,49,0,,,,2007,WD,157000
RL,56.0,14720,,IR1,Lvl,CulDSac,Gtl,NoRidge,Norm,1Fam,1.5Fin,8,5,1995,1996,Hip,VinylSd,VinylSd,BrkFace,579.0,AboveAvg,Avg,PConc,AboveAvg,Avg,Av,GLQ,816,Unf,1217,2033,GasA,AboveAvg,Y,SBrkr,2053,1185,3238,1,2,1,4,AboveAvg,9,Typ,1,AboveAvg,Attchd,1996.0,Fin,3,666,Avg,Avg,Y,283,86,0,,,,2010,WD,410000
RL,58.0,10852,,IR1,Lvl,Inside,Gtl,Gilbert,RR,1Fam,2Story,6,5,2000,2000,Gable,VinylSd,VinylSd,None,0.0,Avg,Avg,PConc,AboveAvg,Avg,No,GLQ,786,Unf,173,959,GasA,AboveAvg,Y,SBrkr,959,712,1671,1,2,1,3,Avg,7,Typ,1,Avg,Attchd,2000.0,Fin,2,472,Avg,Avg,Y,0,38,0,,,,2006,WD,173000
RL,73.0,9855,,Reg,Lvl,Corner,Gtl,Edwards,Norm,1Fam,1Story,6,5,1956,1956,Hip,Wd Sdng,Wd Sdng,None,0.0,Avg,Avg,CBlock,Avg,Avg,No,Unf,0,Unf,1436,1436,GasA,BelowAvg,Y,SBrkr,1689,0,1689,0,1,0,3,Avg,7,Typ,1,AboveAvg,Attchd,1956.0,Unf,2,480,Avg,Avg,Y,0,0,0,,MnPrv,,2009,other,127500
RL,118.0,13704,,IR1,Lvl,Corner,Gtl,CollgCr,Norm,1Fam,1Story,7,5,2001,2002,Gable,VinylSd,VinylSd,BrkFace,150.0,AboveAvg,Avg,PConc,AboveAvg,Avg,No,Unf,0,Unf,1541,1541,GasA,AboveAvg,Y,SBrkr,1541,0,1541,0,2,0,3,AboveAvg,6,Typ,1,Avg,Attchd,2001.0,RFn,3,843,Avg,Avg,Y,468,81,0,,,,2006,WD,205000
RL,,8125,,Reg,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,7,5,2002,2002,Gable,VinylSd,VinylSd,Stone,295.0,AboveAvg,Avg,PConc,AboveAvg,Avg,No,GLQ,986,Unf,668,1654,GasA,AboveAvg,Y,SBrkr,1654,0,1654,1,2,0,3,AboveAvg,6,Typ,0,,Attchd,2002.0,Unf,3,900,Avg,Avg,Y,0,136,0,,,,2006,WD,230000
RM,70.0,5600,,Reg,Lvl,Inside,Gtl,IDOTRR,Norm,2fmCon,2Story,4,5,1930,1950,Hip,VinylSd,Wd Shng,None,0.0,BelowAvg,BelowAvg,other,,,,,0,,0,0,GasA,BelowAvg,N,SBrkr,372,720,1092,0,2,0,3,BelowAvg,7,Mod,0,,,,,0,0,,,N,0,0,0,,,Othr,2010,WD,55000
RL,73.0,9300,,Reg,Lvl,Inside,Gtl,NAmes,Feedr,1Fam,1Story,5,5,1960,1960,Gable,MetalSd,HdBoard,BrkFace,324.0,Avg,Avg,CBlock,Avg,Avg,No,Rec,697,Unf,571,1268,GasA,Avg,Y,SBrkr,1264,0,1264,1,1,0,3,Avg,6,Typ,2,AboveAvg,Attchd,1960.0,Unf,2,461,Avg,Avg,Y,0,0,0,,,,2010,WD,167500
RL,,21453,,IR1,Low,CulDSac,Sev,ClearCr,Norm,1Fam,SLvl,6,5,1969,1969,other,Plywood,Plywood,None,0.0,Avg,Avg,CBlock,Avg,Avg,Gd,ALQ,938,Unf,0,938,GasA,AboveAvg,Y,SBrkr,988,0,988,1,1,0,1,Avg,4,Typ,2,Avg,Attchd,1969.0,Unf,2,540,Avg,Avg,Y,0,130,0,,,,2006,WD,180000
RL,79.0,12420,,Reg,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,2Story,7,5,2001,2001,Gable,VinylSd,VinylSd,None,0.0,AboveAvg,Avg,PConc,AboveAvg,Avg,No,GLQ,666,Unf,278,944,GasA,AboveAvg,Y,SBrkr,944,896,1840,1,2,1,3,AboveAvg,6,Typ,0,,Attchd,2001.0,RFn,2,622,Avg,Avg,Y,0,45,0,,,,2009,WD,230000
